Row,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
A,HR_21006_Cu,HR_21352_Cu,HR_21050_Cu,HR_21064_Cu,HS_22015_Cu,HR_21148_Cu,HR_21180_Cu,HR_21225_Cu,HR_21230_Cu,HR_21249_Cu,HR_21306_Cu,HR_21026_Cu
B,HR_21006_NA,HR_21026_NA,HR_21050_NA,HR_21064_NA,HR_21132_NA,HR_21148_NA,HR_21180_NA,HR_21225_NA,HR_21230_NA,HR_21249_NA,HR_21306_NA,HS_21089_NA
C,HS_21005_Cu,HS_21089_Cu,HS_21097_Cu,HS_21154_Cu,HS_21221_Cu,HS_21236_Cu,HS_21271_Cu,HS_21309_Cu,HS_21325_Cu,HS_21337_Cu,HS_21359_Cu,HR_21132_Cu
D,HS_21005_NA,HR_21352_NA,HS_21097_NA,HS_21154_NA,HS_21221_NA,HS_21236_NA,HS_21271_NA,HS_21309_NA,HS_21325_NA,HS_22036_NA,HS_21359_NA,HS_21242_Cu
E,HR_21012_Cu,HR_21042_Cu,HR_21060_Cu,HR_21074_Cu,HR_21138_Cu,HR_21173_Cu,HR_21363_Cu,HR_21226_Cu,HR_21232_Cu,HR_21292_Cu,HR_21310_Cu,HR_21207_Cu
F,HR_21012_NA,HR_21042_NA,HR_21060_NA,HR_21074_NA,HR_21138_NA,HR_21173_NA,HR_21363_NA,HR_21226_NA,HR_21232_NA,HR_21292_NA,HR_21310_NA,HR_21207_NA
G,HS_21068_Cu,HS_21090_Cu,HS_21126_Cu,HS_21187_Cu,HS_21222_Cu,HS_22015_NA,HS_21281_Cu,HS_21321_Cu,HS_21333_Cu,HS_21342_Cu,HS_22011_Cu,HS_21281_NA
H,HS_21068_NA,HS_21090_NA,HS_21126_NA,HS_21187_NA,HS_21222_NA,HS_21242_NA,HS_22036_Cu,HS_21321_NA,HS_21333_NA,HS_21342_NA,HS_22011_NA,HS_21337_NA
