,1,2,3,4,5,6,7,8,9,10,11,12
A,HR_21378_Cu,HS_22416_Cu,HS_22465_NA,HR_22046_Cu,HR_22098_Cu,HR_22169_Cu,HR_22295_Cu,HS_22468_Cu,HR_22376_Cu,HR_22384_Cu,HS_22071_Cu,HR_22014_Cu
B,HR_21378_NA,HR_21391_NA,HR_22020_NA,HR_22046_NA,HR_22098_NA,HR_22169_NA,HR_22295_NA,HR_22328_NA,HR_22376_NA,HR_22384_NA,HS_22071_NA,HS_22099_Cu
C,HS_22069_Cu,HS_22081_Cu,HS_22107_Cu,HR_22458_Cu,HS_22162_Cu,HS_22176_Cu,HS_22273_Cu,HS_22325_Cu,HS_22369_Cu,HS_22400_Cu,HR_21391_Cu,HR_22020_Cu
D,HS_22069_NA,HR_22425_Cu,HS_22107_NA,HS_22110_NA,HS_22162_NA,HS_22176_NA,HS_22273_NA,HR_22415_Cu,HS_22369_NA,HS_22400_NA,HS_22081_NA,HS_22110_Cu
E,HR_21388_Cu,HR_22425_NA,HR_22042_Cu,HR_22049_Cu,HR_22120_Cu,HR_22204_Cu,HR_22307_Cu,HR_22374_Cu,HS_22416_NA,HR_22392_Cu,HS_22325_NA,HS_22318_Cu
F,HR_21388_NA,HR_22014_NA,HR_22042_NA,HR_22049_NA,HR_22120_NA,HR_22204_NA,HR_22307_NA,HR_22374_NA,HR_22378_NA,HR_22392_NA,HR_22415_NA,HR_22328_Cu
G,HR_22402_Cu,HS_22465_Cu,HS_22109_Cu,HS_22121_Cu,HS_22175_Cu,HS_22255_Cu,HR_22458_NA,HS_22360_Cu,HS_22371_Cu,HS_22410_Cu,HS_22436_Cu,HR_22378_Cu
H,HR_22402_NA,HS_22099_NA,HS_22109_NA,HS_22121_NA,HS_22175_NA,HS_22255_NA,HS_22318_NA,HS_22360_NA,HS_22371_NA,HS_22410_NA,HS_22436_NA,HS_22468_NA
